,Voltage(V),dQ/dU(mAh/V)
0,3.07211684688196,66.00259236912117
1,3.07711684688196,82.62594302340383
2,3.0821168468819597,101.98625185600596
3,3.0871168468819596,123.83257204018861
4,3.0921168468819595,147.21798290064888
5,3.0971168468819594,170.83853413162726
6,3.1021168468819593,194.33927888687157
7,3.107116846881959,216.15734410847986
8,3.112116846881959,236.08418397195317
9,3.117116846881959,254.87707283745988
10,3.122116846881959,272.7761218733822
11,3.127116846881959,289.8564983418967
12,3.1321168468819587,306.4891893998939
13,3.1371168468819586,322.9015055197665
14,3.1421168468819585,339.2474628730764
15,3.1471168468819584,355.49514325291625
16,3.1521168468819583,372.1017874951813
17,3.157116846881958,389.07716749713506
18,3.162116846881958,406.7423181546592
19,3.167116846881958,425.1457167696843
20,3.172116846881958,444.61775757104965
21,3.1771168468819577,464.90986842986416
22,3.1821168468819576,486.1426538053262
23,3.1871168468819575,508.2590366390111
24,3.1921168468819574,531.0638876424604
25,3.1971168468819573,554.4276707078819
26,3.202116846881957,577.7724113517269
27,3.207116846881957,601.5777051102267
28,3.212116846881957,625.4713843789067
29,3.217116846881957,649.3244966144089
30,3.2221168468819568,674.0327527602419
31,3.2271168468819567,698.7853230890395
32,3.2321168468819566,723.9372915359919
33,3.2371168468819564,750.067925548094
34,3.2421168468819563,777.3088949130015
35,3.2471168468819562,806.5449026689748
36,3.252116846881956,837.8762829150787
37,3.257116846881956,872.4579442123055
38,3.262116846881956,909.8343056641305
39,3.267116846881956,950.2808774269176
40,3.2721168468819557,993.8437316401444
41,3.2771168468819556,1039.6233504855359
42,3.2821168468819555,1086.9474330841974
43,3.2871168468819554,1134.8073402333391
44,3.2921168468819553,1180.8740137278828
45,3.297116846881955,1225.6532714796074
46,3.302116846881955,1268.594381118496
47,3.307116846881955,1308.7121743381158
48,3.312116846881955,1346.3169733250256
49,3.3171168468819547,1381.3553320173858
50,3.3221168468819546,1414.2405775092468
51,3.3271168468819545,1445.5843880590865
52,3.3321168468819544,1475.606228610356
53,3.3371168468819543,1503.9991280270813
54,3.342116846881954,1531.7194463669396
55,3.347116846881954,1559.5806541384857
56,3.352116846881954,1587.5122118436036
57,3.357116846881954,1615.6039003351166
58,3.362116846881954,1644.2521362643413
59,3.3671168468819537,1673.9129625709056
60,3.3721168468819536,1704.6635633849057
61,3.3771168468819535,1736.3343909604332
62,3.3821168468819534,1769.063512076616
63,3.3871168468819532,1802.9577822412525
64,3.392116846881953,1838.3593518873856
65,3.397116846881953,1874.9484438790266
66,3.402116846881953,1912.5391755125227
67,3.407116846881953,1951.4943428702145
68,3.4121168468819527,1991.6420533195546
69,3.4171168468819526,2032.5926941207729
70,3.4221168468819525,2074.8678747769445
71,3.4271168468819524,2118.9040009891396
72,3.4321168468819523,2165.4689597517445
73,3.437116846881952,2216.1827748920655
74,3.442116846881952,2270.7513025610942
75,3.447116846881952,2329.821681397759
76,3.452116846881952,2394.659306461115
77,3.4571168468819518,2464.832553577287
78,3.4621168468819516,2540.822714625494
79,3.4671168468819515,2620.3092004320233
80,3.4721168468819514,2702.020433559091
81,3.4771168468819513,2784.3611345995228
82,3.4821168468819512,2868.541157915017
83,3.487116846881951,2948.660554616328
84,3.492116846881951,3024.801536838988
85,3.497116846881951,3093.118185550914
86,3.502116846881951,3152.0488288851116
87,3.5071168468819507,3197.958655471687
88,3.5121168468819506,3231.113021601385
89,3.5171168468819505,3252.8642679240475
90,3.5221168468819504,3265.367475015158
91,3.5271168468819503,3269.794804600284
92,3.53211684688195,3268.255448766898
93,3.53711684688195,3262.6774227538876
94,3.54211684688195,3256.0523011130717
95,3.54711684688195,3250.293372321597
96,3.5521168468819497,3246.787959416588
97,3.5571168468819496,3246.1259773900915
98,3.5621168468819495,3248.469030586761
99,3.5671168468819494,3254.194210546262
100,3.5721168468819493,3262.418378908208
101,3.577116846881949,3271.9910171859874
102,3.582116846881949,3281.824171572679
103,3.587116846881949,3291.1420130454285
104,3.592116846881949,3297.413279730053
105,3.5971168468819488,3300.042783588225
106,3.6021168468819487,3297.8838785515686
107,3.6071168468819486,3291.247309017862
108,3.6121168468819485,3279.86447241211
109,3.6171168468819483,3264.9966931731815
110,3.6221168468819482,3246.2767103081055
111,3.627116846881948,3224.290569989233
112,3.632116846881948,3200.1260647149074
113,3.637116846881948,3174.5645900663612
114,3.642116846881948,3150.1218208189953
115,3.6471168468819477,3125.9190168779833
116,3.6521168468819476,3102.1912515678196
117,3.6571168468819475,3079.881434728667
118,3.6621168468819474,3057.851854248475
119,3.6671168468819473,3035.9360355513754
120,3.672116846881947,3014.482692484943
121,3.677116846881947,2993.2470819950263
122,3.682116846881947,2973.8216173086635
123,3.687116846881947,2956.191149859833
124,3.6921168468819467,2939.5522364808003
125,3.6971168468819466,2926.3438528837196
126,3.7021168468819465,2914.070677562744
127,3.7071168468819464,2903.665693674491
128,3.7121168468819463,2892.9307132439644
129,3.717116846881946,2883.8702071962884
130,3.722116846881946,2875.6257534037427
131,3.727116846881946,2868.0608547129527
132,3.732116846881946,2862.284422577782
133,3.737116846881946,2857.6242421450834
134,3.7421168468819457,2854.5000445688424
135,3.7471168468819456,2852.558026912537
136,3.7521168468819455,2851.147049026315
137,3.7571168468819454,2850.926502045485
138,3.7621168468819453,2851.5681187181644
139,3.767116846881945,2853.4939234272283
140,3.772116846881945,2855.836299583201
141,3.777116846881945,2860.524472055417
142,3.782116846881945,2866.7554855431777
143,3.7871168468819447,2874.6609095094063
144,3.7921168468819446,2883.7287602197803
145,3.7971168468819445,2893.818912491877
146,3.8021168468819444,2905.8608740887375
147,3.8071168468819443,2918.893469561782
148,3.812116846881944,2933.71943547329
149,3.817116846881944,2949.852707287012
150,3.822116846881944,2967.476358845583
151,3.827116846881944,2985.927353127582
152,3.8321168468819438,3003.8468030433455
153,3.8371168468819437,3022.1334244648956
154,3.8421168468819435,3040.3916768524787
155,3.8471168468819434,3057.748472959458
156,3.8521168468819433,3073.212489927562
157,3.8571168468819432,3088.005959232598
158,3.862116846881943,3100.835540542524
159,3.867116846881943,3110.6114074293037
160,3.872116846881943,3118.2946868817744
161,3.877116846881943,3121.423341869885
162,3.8821168468819427,3121.6884310992564
163,3.8871168468819426,3117.5631671748556
164,3.8921168468819425,3110.505302382692
165,3.8971168468819424,3100.363491300174
166,3.9021168468819423,3088.0460384385583
167,3.907116846881942,3071.4039891197012
168,3.912116846881942,3052.9540399130924
169,3.917116846881942,3031.7493930101896
170,3.922116846881942,3009.365293483387
171,3.9271168468819417,2985.0039841916036
172,3.9321168468819416,2960.2107670617793
173,3.9371168468819415,2934.3717365726193
174,3.9421168468819414,2908.15525892042
175,3.9471168468819413,2881.8774459714646
176,3.952116846881941,2855.2158436024315
177,3.957116846881941,2829.3879553320344
178,3.962116846881941,2803.439804072889
179,3.967116846881941,2778.970962917716
180,3.9721168468819408,2755.429425667462
181,3.9771168468819407,2734.361177953144
182,3.9821168468819406,2715.239101595335
183,3.9871168468819405,2698.960559870291
184,3.9921168468819404,2685.798485013374
185,3.9971168468819402,2675.7551136539532
186,4.00211684688194,2668.9591304975174
187,4.0071168468819405,2665.654716530942
188,4.0121168468819395,2664.958160971392
189,4.01711684688194,2666.749809539889
190,4.022116846881939,2670.349516770121
